"2024-02-26-18-00",0
"2024-02-27-06-00",0
"2024-02-27-07-00","19/100"
"2024-02-27-08-00","163/100"
"2024-02-27-09-00","93/25"
"2024-02-27-10-00","677/100"
"2024-02-27-11-00","567/50"
"2024-02-27-12-00","39/4"
"2024-02-27-13-00","933/100"
"2024-02-27-14-00","721/100"
"2024-02-27-15-00","561/100"
"2024-02-27-16-00","38/25"
"2024-02-27-17-00","49/100"
"2024-02-27-18-00",0
"2024-02-28-06-00",0
"2024-02-28-07-00","1/20"
"2024-02-28-08-00","99/100"
"2024-02-28-09-00","71/25"
"2024-02-28-10-00","134/25"
"2024-02-28-11-00","271/25"
"2024-02-28-12-00","54/5"
"2024-02-28-13-00","459/50"
"2024-02-28-14-00","641/100"
"2024-02-28-15-00","147/25"
"2024-02-28-16-00","53/20"
"2024-02-28-17-00","29/50"
"2024-02-28-18-00",0
"2024-02-29-06-00",0
"2024-02-29-07-00","1/4"
"2024-02-29-08-00","113/100"
"2024-02-29-09-00","201/100"
"2024-02-29-10-00","121/25"
"2024-02-29-11-00","877/100"
"2024-02-29-12-00","523/50"
"2024-02-29-13-00","41/5"
"2024-02-29-14-00","851/100"
"2024-02-29-15-00","41/10"
"2024-02-29-16-00","229/100"
"2024-02-29-17-00","21/50"
"2024-02-29-18-00","1/100"
"2024-03-01-06-00",0
"2024-03-01-07-00",0
"2024-03-01-08-00","41/100"
"2024-03-01-09-00","13/10"
"2024-03-01-10-00","77/25"
"2024-03-01-11-00","149/50"
"2024-03-01-12-00","59/20"
"2024-03-01-13-00","78/25"
"2024-03-01-14-00","148/25"
"2024-03-01-15-00","69/25"
"2024-03-01-16-00","13/10"
"2024-03-01-17-00","9/20"
"2024-03-01-18-00",0
"2024-03-02-06-00",0
"2024-03-02-07-00","2/25"
"2024-03-02-08-00","17/25"
"2024-03-02-09-00","73/100"
"2024-03-02-10-00","57/50"
"2024-03-02-11-00","109/100"
"2024-03-02-12-00","8/5"
"2024-03-02-13-00","239/100"
"2024-03-02-14-00","97/100"
"2024-03-02-15-00","19/25"
"2024-03-02-16-00","41/100"
"2024-03-02-17-00","3/25"
"2024-03-02-18-00",0
"2024-03-03-06-00",0
"2024-03-03-07-00","19/100"
"2024-03-03-08-00","9/5"
"2024-03-03-09-00","319/100"
"2024-03-03-10-00","93/20"
"2024-03-03-11-00","1073/100"
"2024-03-03-12-00","318/25"
"2024-03-03-13-00","247/20"
"2024-03-03-14-00","257/25"
"2024-03-03-15-00","647/100"
"2024-03-03-16-00","173/100"
"2024-03-03-17-00","53/100"
"2024-03-03-18-00","1/100"
"2024-03-04-06-00",0
"2024-03-04-07-00","37/100"
"2024-03-04-08-00","21/20"
"2024-03-04-09-00","237/100"
"2024-03-04-10-00","763/100"
"2024-03-04-11-00","1131/100"
"2024-03-04-12-00","308/25"
"2024-03-04-13-00","593/50"
"2024-03-04-14-00","1013/100"
"2024-03-04-15-00","149/25"
"2024-03-04-16-00","79/50"
"2024-03-04-17-00","47/100"
"2024-03-04-18-00","1/50"
"2024-03-05-06-00",0
"2024-03-05-07-00","53/100"
"2024-03-05-08-00","219/100"
"2024-03-05-09-00","143/50"
"2024-03-05-10-00","617/100"
"2024-03-05-11-00","503/50"
"2024-03-05-12-00","309/25"
"2024-03-05-13-00","1173/100"
"2024-03-05-14-00","1007/100"
"2024-03-05-15-00","27/4"
"2024-03-05-16-00","213/100"
"2024-03-05-17-00","33/50"
"2024-03-05-18-00","1/25"
"2024-03-06-06-00",0
"2024-03-06-07-00","39/100"
"2024-03-06-08-00","157/100"
"2024-03-06-09-00","389/100"
"2024-03-06-10-00","373/50"
"2024-03-06-11-00","899/100"
"2024-03-06-12-00","247/20"
"2024-03-06-13-00","23/4"
"2024-03-06-14-00","141/20"
"2024-03-06-15-00","187/50"
"2024-03-06-16-00","173/100"
"2024-03-06-17-00","3/5"
"2024-03-06-18-00","1/100"
"2024-03-07-06-00",0
"2024-03-07-07-00","11/50"
"2024-03-07-08-00","127/100"
"2024-03-07-09-00","79/50"
"2024-03-07-10-00","7/4"
"2024-03-07-11-00","127/50"
"2024-03-07-12-00","107/50"
"2024-03-07-13-00","131/50"
"2024-03-07-14-00","131/50"
"2024-03-07-15-00","43/25"
"2024-03-07-16-00","89/100"
"2024-03-07-17-00","1/2"
"2024-03-07-18-00","1/100"
"2024-03-08-06-00",0
"2024-03-08-07-00","9/100"
"2024-03-08-08-00","39/50"
"2024-03-08-09-00","127/100"
"2024-03-08-10-00","217/100"
"2024-03-08-11-00","161/50"
"2024-03-08-12-00","437/100"
"2024-03-08-13-00","11/4"
"2024-03-08-14-00","66/25"
"2024-03-08-15-00","41/25"
"2024-03-08-16-00","29/50"
"2024-03-08-17-00","1/10"
"2024-03-08-18-00",0
"2024-03-09-04-00",0
"2024-03-09-05-00",0.2
"2024-03-09-06-00",2.04
"2024-03-09-07-00",4.42
"2024-03-09-08-00",8.36
"2024-03-09-09-00",14.07
"2024-03-09-10-00",17.47
"2024-03-09-11-00",21.939999999999998
"2024-03-09-12-00",21.5
"2024-03-09-13-00",12.08
"2024-03-09-14-00",2.99
"2024-03-09-15-00",1.49
"2024-03-09-16-00",0.18
"2024-03-10-04-00",0
"2024-03-10-05-00",0.08
"2024-03-10-06-00",1.23
"2024-03-10-07-00",2.7
"2024-03-10-08-00",5.49
"2024-03-10-09-00",9.62
"2024-03-10-10-00",8.68
"2024-03-10-11-00",8.16
"2024-03-10-12-00",5.25
"2024-03-10-13-00",3.6
"2024-03-10-14-00",1.05
"2024-03-10-15-00",0.31
"2024-03-10-16-00",0.01
"2024-03-11-04-00",0
"2024-03-11-05-00",0.16
"2024-03-11-06-00",0.99
"2024-03-11-07-00",1.49
"2024-03-11-08-00",2.41
"2024-03-11-09-00",2.74
"2024-03-11-10-00",4.19
"2024-03-11-11-00",3.38
"2024-03-11-12-00",5.42
"2024-03-11-13-00",4.01
"2024-03-11-14-00",0.85
"2024-03-11-15-00",0.17
"2024-03-11-16-00",0.01
"2024-03-12-04-00",0
"2024-03-12-05-00",0.29
"2024-03-12-06-00",1.7
"2024-03-12-07-00",2.46
"2024-03-12-08-00",3.12
"2024-03-12-09-00",4.3
"2024-03-12-10-00",2.18
"2024-03-12-11-00",2.94
"2024-03-12-12-00",2.4
"2024-03-12-13-00",2.05
"2024-03-12-14-00",1.94
"2024-03-12-15-00",0.98
"2024-03-12-16-00",0.11
"2024-03-13-04-00",0
"2024-03-13-05-00",0.39
"2024-03-13-06-00",1.62
"2024-03-13-07-00",2.28
"2024-03-13-08-00",7.16
"2024-03-13-09-00",11.07
"2024-03-13-10-00",8.92
"2024-03-13-11-00",5.73
"2024-03-13-12-00",5.09
"2024-03-13-13-00",4.38
"2024-03-13-14-00",3.54
"2024-03-13-15-00",1.71
"2024-03-13-16-00",0.3
"2024-03-14-04-00",0
"2024-03-14-05-00",0.41
"2024-03-14-06-00",1.97
"2024-03-14-07-00",4.15
"2024-03-14-08-00",7.12
